Sr. No.,Tag ID,Chassis/ Vehicle No,NPCI Vehicle Class,Vehicle Class Desc,Plaza Name,Pass Id,Pass Scheme,Pass Type,Pass Name,Start Effective Date,End Effective Date,Trips Allowed,Trips Taken,Channel,Issuance Date,Renewal Dt,Issuance Fees (Rs.),Payment Mode,Payment status,Stlmnt Dt,Stlmnt Amt (Rs.),Stlmnt Status,Current Status,Issued By,NPCI Plaza Id,AutoRenewal,Old Pass Id,New Pass Id,A,B
1,34161FA82033E6EE04FFF900,MP10CB0412,VC4,Car / Jeep / Van,Kurana Toll Plaza,14540747,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,29,Concessionaire,28/02/2023 08:58:09,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
2,34161FA82033E6EE04FFF900,MP10CB0412,VC4,Car / Jeep / Van,Kurana Toll Plaza,14104436,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,4/2/2023 0:00,28/02/2023 00:00:00,9999,36,Concessionaire,4/2/2023 15:04,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
3,34161FA82033E6EE0488C6C0,UP32EF9515,VC4,Car / Jeep / Van,Kurana Toll Plaza,14226402,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,10/2/2023 0:00,28/02/2023 00:00:00,9999,3,Concessionaire,10/2/2023 15:01,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
4,34161FA82033E6EE04738A60,MA3EADE1S00444637,VC4,Car / Jeep / Van,Kurana Toll Plaza,14042146,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,15,Concessionaire,2/2/2023 10:33,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
5,34161FA82033E6EE02109740,UP37H8899,VC4,Car / Jeep / Van,Kurana Toll Plaza,14241813,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,11/2/2023 0:00,28/02/2023 00:00:00,9999,5,Concessionaire,11/2/2023 13:07,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
6,34161FA820328EE8257B0640,UP37AT5373,VC4,Car / Jeep / Van,Kurana Toll Plaza,14371151,Monthly Pass Comm,MP,Monthly Pass Comm,19/02/2023 00:00:00,18/03/2023 00:00:00,50,50,Concessionaire,19/02/2023 11:27:46,N/A,3380,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
7,34161FA820328EE8257303A0,UP37C7656,VC4,Car / Jeep / Van,Kurana Toll Plaza,14041110,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,2/2/2023 0:00,28/02/2023 00:00:00,9999,10,Concessionaire,2/2/2023 10:11,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
8,34161FA820328EE824CFC860,DL3CCP0337,VC4,Car / Jeep / Van,Kurana Toll Plaza,13990305,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,18,Concessionaire,1/2/2023 10:39,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
9,34161FA820328EE824CFC820,DL2CBA7839,VC4,Car / Jeep / Van,Kurana Toll Plaza,13990431,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,27,Concessionaire,1/2/2023 10:41,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
10,34161FA820328EE8242AE700,UP14AV4250,VC4,Car / Jeep / Van,Kurana Toll Plaza,13983821,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,41,Concessionaire,1/2/2023 9:41,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
11,34161FA820328EE8240D93C0,UP37S1910,VC4,Car / Jeep / Van,Kurana Toll Plaza,14343530,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,17/02/2023 00:00:00,28/02/2023 00:00:00,9999,0,Concessionaire,17/02/2023 15:58:22,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
12,34161FA820328EE8240D3F00,DL10CA1833,VC4,Car / Jeep / Van,Kurana Toll Plaza,13994444,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,19,Concessionaire,1/2/2023 11:26,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
13,34161FA820328EE8240757E0,MALB341CLPM177986,VC4,Car / Jeep / Van,Kurana Toll Plaza,14566613,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,42,Concessionaire,28/02/2023 12:49:58,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
14,34161FA820328EE824032D20,MA3JMTB1SPA826362,VC4,Car / Jeep / Van,Kurana Toll Plaza,14585829,Monthly Pass Comm,MP,Monthly Pass Comm,1/3/2023 0:00,31/03/2023 00:00:00,50,46,Concessionaire,28/02/2023 15:54:43,N/A,3380,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
15,34161FA820328EE823AE4E60,UP13BW1688,VC4,Car / Jeep / Van,Kurana Toll Plaza,13999718,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,53,Concessionaire,1/2/2023 12:32,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
16,34161FA820328EE823AE4E60,UP13BW1688,VC4,Car / Jeep / Van,Kurana Toll Plaza,14568079,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,54,Concessionaire,28/02/2023 12:58:21,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
17,34161FA820328EE82383D8A0,UP15DX6894,VC4,Car / Jeep / Van,Kurana Toll Plaza,14581191,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,48,Concessionaire,28/02/2023 14:58:46,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
18,34161FA820328EE822F3F6E0,DL3CBP6895,VC4,Car / Jeep / Van,Kurana Toll Plaza,14012087,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,30,Self,1/2/2023 15:34,N/A,315,,Success,2/2/2023,315,Settled,EXPIRED,Online,320077,NO,N/A,N/A,N/A,N/A
19,34161FA820328EE822F3F5A0,HR29Z4032,VC4,Car / Jeep / Van,Kurana Toll Plaza,14082874,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,3/2/2023 0:00,28/02/2023 00:00:00,9999,13,Concessionaire,3/2/2023 16:46,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
20,34161FA820328EE822F2FBA0,UP37S6809,VC4,Car / Jeep / Van,Kurana Toll Plaza,13977401,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,25,Concessionaire,1/2/2023 8:38,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
21,34161FA820328EE822C3B140,UP11A7374,VC4,Car / Jeep / Van,Kurana Toll Plaza,14009334,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,1/2/2023 14:43,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
22,34161FA820328EE822C38460,DL4CAU5323,VC4,Car / Jeep / Van,Kurana Toll Plaza,13992687,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,10,Concessionaire,1/2/2023 11:07,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
23,34161FA820328EE822B49440,UP37S1202,VC4,Car / Jeep / Van,Kurana Toll Plaza,13976697,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,1/2/2023 8:29,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
24,34161FA820328EE822B49440,UP37S1202,VC4,Car / Jeep / Van,Kurana Toll Plaza,14586067,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,0,Concessionaire,28/02/2023 15:59:25,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
25,34161FA820328EE82203F340,UP13BH0101,VC4,Car / Jeep / Van,Kurana Toll Plaza,14117605,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,5/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,5/2/2023 9:09,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
26,34161FA820328EE821BDA200,UP11AJ2473,VC4,Car / Jeep / Van,Kurana Toll Plaza,14562639,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/3/2023 0:00,31/03/2023 00:00:00,9999,18,Concessionaire,28/02/2023 12:14:22,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
27,34161FA820328EE821BDA200,UP11AJ2473,VC4,Car / Jeep / Van,Kurana Toll Plaza,14204983,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,9/2/2023 0:00,28/02/2023 00:00:00,9999,20,Concessionaire,9/2/2023 14:04,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
28,34161FA820328EE821B08BA0,UP13BW5697,VC4,Car / Jeep / Van,Kurana Toll Plaza,14142004,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,6/2/2023 0:00,28/02/2023 00:00:00,9999,1,Concessionaire,6/2/2023 12:48,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
29,34161FA820328EE821A44780,DL8CAA4341,VC4,Car / Jeep / Van,Kurana Toll Plaza,13990474,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,1/2/2023 0:00,28/02/2023 00:00:00,9999,48,Concessionaire,1/2/2023 10:41,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
30,34161FA820328EE821A434E0,UK14J1037,VC4,Car / Jeep / Van,Kurana Toll Plaza,14078620,Monthly Pass Non Comm,MP,Monthly Pass Non Comm,3/2/2023 0:00,28/02/2023 00:00:00,9999,0,Concessionaire,3/2/2023 14:14,N/A,315,,Success,N/A,N/A,N/A,EXPIRED,139773.KUR2,320077,NO,N/A,N/A,N/A,N/A
